Part Number,Description,Qty,Column1,Avg Cost
EL-04-1084,Inertia Switch,5,ea,41.66
EL-04-1085,Marlin isolated CAN gateway,5,ea,351
EL-04-1086,orion 2 battery management system BMS,3,ea,2280.71
EL-04-1087,connecting kit suit Bender iso175,9,ea,36.27
EL-04-1088,Insulation monitoring device Bender iso175C-42-SS,5,ea,777.45
EL-04-1089,Kvaser USBcan Light 4xHS,2,ea,1486.5
EL-04-1090,power steering reservoir,0,ea,150.33
EL-04-1091,"1550H x 600W x 600D IP66 32RU 19"" Data Rack",1,ea,2880.57
EL-04-1092,ANTENNA CABLE 1.5m LL195 SMA-M LEADS CAL5048,0,ea,38.5
EL-04-1093,600H x 600W x 200D IP66 splitter cabinet,4,ea,254.62
EL-04-1094,600H x 400W x 200D IP66 remote access cabinet,2,ea,203.79
EL-04-1095,800H x 600W x 200D IP66 high voltage distribution cabinet,3,ea,311.85
EL-04-1096,distribution board 24P IP65 grey 400A auto main switch,0,ea,2656.62
EL-04-1097,DISTRIBUTION BOARD IP65 GREY HEADER BOX XT5 400A MCCB PROTECTION,0,ea,1509.22
EL-04-1098,24P DIN ENCAPSULATED RWB 400A TOP FEED CHASSIS,0,ea,393.12
EL-04-1099,800H IP65 DB ENCLOSURE FOR UP TO 36P CHASSIS LOOSE KIT,0,ea,699.41
EL-04-1100,filter kit 150 x 150,0,ea,17.46
EL-04-1101,enclosure steel grey IP66 500 x 400 x 250mm,0,ea,176.11
EL-04-1102,circuit breaker 1P MCB 10kA 20A C curve,8,ea,18.71
EL-04-1103,cover s/steel suit FPF12 fan/filters,0,ea,210.2
EL-04-1104,Sealed Polycarbonate Enclosure with Mounting 171(W) x 121(D) x 80(H)mm,3,ea,28.33
EL-04-1105,Red LED Beacon Strobe Light,1,ea,52.66
EL-04-1106,LED Batten W/P 42W 240V 1800/3700lm 3/4/6K Grey PC Int EW2401,0,ea,63.65
EL-04-1107,Controller-NEURO 200 VMU,0,ea,0
EL-04-1108,CAN relay module 12v,0,ea,465
EL-04-1109,CAN relay module 24V,1,ea,485
EL-04-1110,750-12VDC Mean Well Converter,4,ea,88.71
EL-04-1111,Unitronics B5 Router 4G,15,ea,352.5
EL-04-1112,UniStream Uni-I/O Modules UID-0808R,0,ea,391.67
EL-04-1113,Unitronics B8 Router 4G,2,ea,574
EL-04-1114,router PCAN Pro,1,ea,905.38
EL-04-1115,USB A to ethernet adapter,0,ea,0
EL-04-1116,USB A to USB B cable 2m,0,ea,0
EL-04-1117,CAT 6 ethernet patch lead 1m,0,ea,0
EL-04-1118,35mm Crimp Link Standard Copper,0,ea,2.15
EL-04-1119,50mm Crimp Link Standard Copper,26,ea,3.28
EL-04-1120,70mm Crimp Link Standard Copper,27,ea,7.08
EL-04-1121,10mm-6mm Crimp Link Reducing Copper,0,ea,31.44
EL-04-1122,16mm-10mm Crimp Link Reducing Copper,0,ea,0
EL-04-1123,Cable SDI Flex 1C 16mm 110deg Red(1x100m),0,ea,570
EL-04-1124,50mm2 copper link,43,ea,2.88
