Part Number,Description,Qty,Column1,Avg Cost
EL-04-1360,25mm2 8mm 90 DEGREE copper lug (10pk),200,ea,0.61
EL-04-1361,35mm2 8mm copper lug (50),55,ea,4.14
EL-04-1362,35mm2 10mm copper lug (50),5,ea,39.86
EL-04-1363,50mm2 8mm copper lug (50),156,ea,1.67
EL-04-1364,50mm2 10mm copper lug (50),54,ea,4.78
EL-04-1365,95mm2 8mm copper lug (50),70,ea,8.75
EL-04-1366,120mm2 8mm copper lug (25),1,ea,73.24
EL-04-1367,120mm2 10mm copper lug (25),2,ea,0
EL-04-1368,10mm metal P clip with PVC liner (10PK),0,ea,0
EL-04-1369,12mm metal P clip with PVC liner (10PK),0,ea,0
EL-04-1370,95mm2 10mm copper lug (50),39,ea,9.08
EL-04-1371,10mm2 cable copper sleeve,20,ea,0.5
EL-04-1372,TO-220 bush suit PDU PCB mounting,200,ea,0.07
EL-04-1373,25mm2 10mm copper lug (50),1,ea,50.2
EL-04-1374,16mm2 6mm copper lug (50),30,ea,0.99
EL-04-1375,25mm Crimp Link Standard Copper,50,ea,1.2
EL-04-1376,4mm2 x 8mm copper lug (100 pack),0,ea,0
EL-04-1377,Duosida Charging Plug 125A,46,ea,82.79
EL-04-1378,Duosida Charging Socket 125A,72,ea,50.21
EL-04-1379,pin set to suit NV3-DSD-G-EV125S,14,ea,24
EL-04-1380,Deutsch pin male # 16 gold,796,ea,0.32
EL-04-1381,Pin Size 20(7.5amp)Pkt 100,0,ea,0.14
EL-04-1382,Deutsch pin female # 16 gold,1696,ea,0.38
EL-04-1383,0462-201-20141 Socket Size 20 (7.5amp) Pkt 100,400,ea,0.22
EL-04-1384,cover shell suit 3 way DT plug,121,ea,0.73
EL-04-1385,cover shell suit 3 way DT plug,126,ea,0.85
EL-04-1386,cover shell suit 12 way DT plug,50,ea,1.25
EL-04-1387,DT04-3P-E008,4,ea,0.77
EL-04-1388,DT06-3S-E008,107,ea,0.77
EL-04-1389,DTM04-12P Deutsch plug 12 way incl wedge,67,ea,2.02
EL-04-1390,WM12P Deutsch wedge 12 way,55,ea,0.12
EL-04-1391,WM12S Deutsch wedge 12 way,55,ea,0.13
EL-04-1392,battery cell NMC 3.7V 150Ah MT terminals,0,ea,69.3
EL-04-1393,Clutch Fristion Plate For Fast 16JZSD240AMT,0,ea,5580
EL-04-1394,Fast AMT transmission with PTO fitted,4,ea,8936.89
EL-04-1395,Imput 1st Shaft For Fast 16JZSD240AMT,0,ea,180
EL-04-1396,control actuator module suit F16JZ24A gearbox,0,ea,2175
EL-04-1397,MCB 6ka 32A MOD6 3P circuit breaker,3,ea,32.5
EL-04-1398,Switched socket 3ph 4pin 32A,0,ea,160
EL-04-1399,Cover Flat ET3 / ET5 150 G/Bond 3Mtr,2,ea,37.5
EL-04-1400,Corrugated Conduit Gland Straight 20mm PVC Grey,1,ea,15
EL-04-1401,unistrut channel slotted 41mm x 41mm x 6m length,0,ea,0
EL-04-1402,channel nut long spring M8 zinc,68,ea,1.75
EL-04-1403,150MM Width HDG,2,ea,57
EL-04-1404,ladder tray cable GBD 300mm  x 3m length,0,ea,0
EL-04-1405,40mm heatshrink - BLACK,1,ea,12.99
EL-04-1406,"2 Gang Weathershield Switch 250VAC, IP66",2,ea,22.5
EL-04-1407,Deutsch plug DTM male 2-way incl wedge,10,ea,2.95
EL-04-1408,Deutsch plug DTM female 2-way incl wedge,10,ea,2.95
EL-04-1409,Automotive Connectors OUTER FERRULE SIZE A HVA280,10,ea,3.14
EL-04-1410,Automotive Connectors OUTER FERRULE SIZE B HVA280,10,ea,2.94
EL-04-1411,Automotive Connectors WIRE SEAL,60,ea,0.18
EL-04-1412,Automotive Connectors MCP1.5 BU-KONT EDS,60,ea,0.25
EL-04-1413,"8POS,AMP MCP1.5K,REC HSG,ASSY",10,ea,17.62
EL-04-1414,10mm x 1/4bsp q/fit connector,6,ea,9.76
EL-04-1415,3 pin connector plug suit mitsubishi a/c pressure switch,10,ea,4.31
EL-04-1416,TE Connectivity / AMP COVER F.21P REC-HSG / Automotive Connectors,28,ea,2.77
EL-04-1417,828922-1 TE Connectivity CAVITY PLUG / Automotive Connectors,0,ea,0.07
EL-04-1418,TE Connectivity / DEUTSCH SEALING PLUG CONTACT / Automotive Connectors,0,ea,0.3
EL-04-1419,Aptiv single wire seal,0,ea,0.06
EL-04-1420,"Automotive Connectors 2POS,HPF 1.2,REC HSG,ASSY,SLD",0,ea,5.33
EL-04-1421, INNER HOUSING PLUG HVAA280-2PHM PASS THRU HVIL,16,ea,4.38
EL-04-1422,CONN RCPT 22POS 0.079 GOLD PCB,0,ea,6.21
EL-04-1423,Yelow - DIN Terminal Block Connector 2 Position,0,ea,0
EL-04-1424,CAP ALUM 100UF 20% 50V SMD,0,ea,0.93
EL-04-1425,CAP CER 0.1UF 50V X7R 0805,0,ea,0.05
EL-04-1426,CAP CER 0.1UF 50V X7R 1206,0,ea,0.08
EL-04-1427,CAP CER 1000PF 50V X7R 1206,0,ea,0.08
EL-04-1428,LED RGB CLEAR 4PLCC SMD,0,ea,1.5
EL-04-1429,3.0X1.0MM RGB RT. ANGLE SMD LED,0,ea,1.82
EL-04-1430,CONN SOCKET 17-20AWG CRIMP GOLD,25,ea,1.39
EL-04-1431,BOOT 40P,0,ea,14.55
EL-04-1432,H2 + CO & BATTERY GAS SENSOR,2,ea,58.27
EL-04-1433,DIODE GEN PURP 75V 250MA SOD123,0,ea,0.11
EL-04-1434,CMC 810UH 40A 3LN 6810 OHM,0,ea,46.39
EL-04-1435,DC DC CONVERTER +/-5V 4W,0,ea,2.32
EL-04-1436,TERM BLK 6P SIDE ENT 6.35MM PCB,0,ea,8.35
EL-04-1437,RES 10K OHM 5% 1/8W 0805,0,ea,0.02
EL-04-1438,FUSE CLIP CARTRIDGE IN LINE,0,ea,0
EL-04-1439,ANBON SEMICONDUCTOR (INT'L) LIMITED N-CHANNEL ENHANCEMENT MODE MOSFE,0,ea,0.16
EL-04-1440,CONN RCPT HSG 24POS 2.00MM,25,ea,0.43
EL-04-1441,CONN SOCKET 22-26AWG CRIMP TIN,0,ea,0.02
EL-04-1442,CAP CER 1000PF 50V X7R 0805,0,ea,0.08
EL-04-1443,FIXED IND 68MH 40MA 152 OHM TH,0,ea,0.88
EL-04-1444,CONN RCPT HSC 40POS,0,ea,28.21
EL-04-1445,CONN PLUG HSG 40POS,5,ea,43.1
EL-04-1446,CONN RCPT HSG 4POS BLACK,4,ea,2.49
EL-04-1447,CONN HEADER R/A 40POS 2.2MM,0,ea,5.43
EL-04-1448,CONN SEAL PROTECTOR .50-.75SQ,0,ea,0.1
EL-04-1449,CONN SOCKET 20AWG CRIMP GOLD,42,ea,0.32
EL-04-1450,relay automotive SPDT 40A 24V suit Volvo FMU cabinet,0,ea,3.78
EL-04-1451,KELVIN CLIP TEST FIXTURE FOR BEN,0,ea,138.18
EL-04-1452,FIXED IND 120MH 8MA 97 OHM TH,0,ea,2.4
EL-04-1453,IC TRANSCEIVER HALF 1/1 8SOIC,0,ea,1.41
EL-04-1454,RELAY AUTOMOTIVE SPDT 40A 12V,0,ea,3.07
EL-04-1455,FIXED IND 82MH 10MA 71 OHM TH,0,ea,2.4
EL-04-1456,FIXED IND 100MH 40MA 300 OHM TH,0,ea,0.71
EL-04-1457,"BOX ABS GRAY 6.540""L X 3.400""W",0,ea,27.09
EL-04-1458,CONN HDR 20POS 0.1 TIN PCB,0,ea,1.08
EL-04-1459,CMC 810UH 40A 3LN 680 OHM TH,0,ea,47.3
EL-04-1460,pin female suit Cell Guard sensor plug,0,ea,0.4
EL-04-1461,housing suit Cell Guard sensor plug,22,ea,0.68
EL-04-1462,wedge suit Cell Guard sensor plug,30,ea,0.28
EL-04-1463,Amphenol pins suit power plug A/C compressor V1,10,ea,27.22
EL-04-1464,Amphenol pins suit power A/C compressor V1,20,ea,3.07
EL-04-1465,HPM 10A Plug Top Rear Entry - Black,5,ea,2.72
EL-04-1466,Mini Relay Base 4&5 Pin 5 Pack,50,ea,3.44
EL-04-1467,Relay Micro 12V 4 Pin 20A N/O Contacts Resistor Protected Single.,2,ea,21.82
EL-04-1468,Relay Conncetor Base Suit 4 & 5 Pin Micro Relays 6.3 & 4.8mm Terminals,1,ea,9.09
EL-04-1469,100mm x 2.5mm CABLE TIES - UV BLACK 100PK,23,ea,0.86
EL-04-1470,203mm x 3.2mm CABLE TIES - UV BLACK 100PK,38,ea,4.58
EL-04-1471,203mm x 4.6MM CABLE TIES - UV BLACK 100PK,27,ea,3.16
EL-04-1472,300mm x 4.8mm CABLE TIES - UV BLACK 100PK,31,ea,6.51
EL-04-1473,380mm x 7.6mm CABLE TIES - UV BLACK 100PK,32,ea,13.92
EL-04-1474,3-6mm CABLE TIES top fix edge clip OEX,13,ea,16.86
EL-04-1475,490mm CABLE TIES dual clamp 50PK Hellermann,5,ea,74.65
EL-04-1476,Cable Tie Mount,0,ea,13.6
EL-04-1477,Cable Tie Mount Swivel,4,ea,41.65
EL-04-1478,4mm BLACK auto cable 500m OEX,0,ea,0
EL-04-1479,25mm conduit half saddle metal Steel ZP,1,ea,22.5
EL-04-1480,1mm Flexible 1KV cable BLACK 100m,1,ea,59
EL-04-1481,1mm Flexible 1KV cable BLUE 100m,1,ea,59
EL-04-1482,1mm Flexible 1KV cable BROWN 100m,1,ea,59
EL-04-1483,1mm Flexible 1KV cable ORANGE 100m,0,ea,59
EL-04-1484,1mm Flexible 1KV cable RED 100m,1,ea,59
EL-04-1485,1mm Flexible 1KV cable VIOLET 100m,0,ea,59
EL-04-1486,1mm Flexible 1KV cable WHITE 100m,1,ea,59
EL-04-1487,1mm Flexible 1KV cable WHITE/BROWN 100m,0,ea,59
EL-04-1488,2.5mm Flexible 1KV cable BLACK 100m,2,ea,99
EL-04-1489,2.5mm Flexible 1KV cable BLUE 100m,2,ea,99
EL-04-1490,2.5mm Flexible 1KV cable BROWN 100m,2,ea,99
EL-04-1491,2.5mm Flexible 1KV cable GREEN/YELLOW 100m,2,ea,99
EL-04-1492,2.5mm Flexible 1KV cable RED 100m,2,ea,99
EL-04-1493,4mm  Flexible 1KV cable RED 100m,1,ea,150
EL-04-1494,6mm Flexible 1KV cable BLACK 100m,1,ea,195
EL-04-1495,10mm SDI cable 100m,1,ea,510
EL-04-1496,20mm BLACK flex conduit 30M PVC,121,ea,10.89
EL-04-1497,25mm BLACK flex conduit 30M PVC,60,ea,13.96
EL-04-1498,20mm GREY rigid conduit medium duty 4M,15,ea,6.75
EL-04-1499,25mm GREY rigid conduit medium duty 4M,10,ea,4.95
EL-04-1500,14mm GREY conduit end plug,0,ea,0
EL-04-1501,16mm GREY conduit end plug,30,ea,0
EL-04-1502,20mm GREY conduit end plug,54,ea,0.59
EL-04-1503,25mm GREY conduit end plug,2,ea,0.94
EL-04-1504,32mm GREY conduit end plug,53,ea,2.08
EL-04-1505,20mm plain treaded adaptor male PVC Grey,43,ea,0.63
EL-04-1506,25mm plain treaded adaptor male PVC Grey,50,ea,1.04
EL-04-1507,32mm plain treaded adaptor male PVC Grey,2,ea,1.75
EL-04-1508,20mm conduit half saddle metal Steel ZP,61,ea,0.51
EL-04-1509,20mm conduit coupling PVC White,39,ea,2.48
EL-04-1510,25mm conduit coupling PVC White Electric,40,ea,0.49
EL-04-1511,20mm conduit elbow 90deg PVC Grey,9,ea,22.7
EL-04-1512,25mm conduit elbow 90deg PVC Grey,20,ea,1.98
EL-04-1513,8mm VSR10 Hgh Temp Glass Sleeving WHITE,33,ea,5.28
EL-04-1514,25mm2 cable shielded single core orange sheath,488,ea,8.37
EL-04-1515,cable shielded twin core 2.5mm2 red&black inside orange sheath,120,ea,2.13
EL-04-1516,cable shielded HV 4mm2 LV216 600/900V,493,ea,1.78
EL-04-1517,"UNITRONIC BUS CAN 2X2X0,5",0,ea,5.59
EL-04-1518,2.5mm twin earth cable WHITE 100m,2,ea,165
EL-04-1519,"UNITRONIC BUS CAN FD P 1X2X0,5",38,ea,5.7
EL-04-1520,20mm Lock Ring Knurled Threaded PVC Grey,167,ea,5.91
EL-04-1521,25mm Lock Ring Knurled Threaded PVC Grey,63,ea,0.4
EL-04-1522,32mm Lock Ring Knurled Thread PVC Grey,51,ea,0.67
EL-04-1523,Cable SDI Flex 1C 10mm 110degBlack (1x100m),0,ea,390
EL-04-1524,Cable SDI Flex 1C 10mm 110degRed (1x100m),0,ea,390
EL-04-1525,2.5mm A-Series Din Terminal Beige,254,ea,0.95
EL-04-1526,2.5mm A-Series Din Terminal Blue,212,ea,0.84
EL-04-1527,2.5mm A-Series Din Terminal Red,292,ea,1.02
EL-04-1528,2.5mm A-Series Din Terminal Orange,139,ea,1.49
EL-04-1529,2.5mm A-Series Din Terminal Green,116,ea,0.97
EL-04-1530,2.5mm A-Series Din Terminal Block White,160,ea,0.01
EL-04-1531,2.5mm A-Series Din Terminal Black,150,ea,1.02
EL-04-1532,2.5mm End Bracket A-Series Din Terminal Beige,53,ea,1.39
EL-04-1533,Terminal Insulator Red (5pk),161,ea,3.73
EL-04-1534,Terminal Insulator Black (5pk),53,ea,2.61
EL-04-1535,2.5mm A-Series Din terminal green/yellow,2,ea,0.17
EL-04-1536,2-way cross connector to suit 2.5mm A-Series terminals,132,ea,0.88
EL-04-1537,4-way cross connector to suit 2.5mm A-Series terminals,45,ea,1.96
EL-04-1538,6-way cross connector to suit 2.5mm A-Series terminals,33,ea,3.21
EL-04-1539,10-way cross connector to suit 2.5mm A-Series terminals,5,ea,5.22
EL-04-1540,4mm black end plate to suit A-Series 3 contact terminals AEP 3C 4 BK,20,ea,0.81
EL-04-1541,battery terminal H/D stud type pos,10,ea,33.76
EL-04-1542,battery terminal H/D stud type neg,9,ea,33.5
EL-04-1543,0.5-1.6mm M3 RED forked spade insulated dgrip stud,0,ea,28.96
EL-04-1544,0.5-1.6mm M6 RED ring terminal insulated dgrip stud,0,ea,30.99
EL-04-1545,0.5-1.6mm M8 RED ring terminal insulated dgrip stud,0,ea,31.16
EL-04-1546,1-2.6mm stud BLUE ring terminal insulated dgrip,1,ea,33.29
EL-04-1547,1.5-2.5mm M6 BLUE ring terminal insulated double grip stud,0,ea,31.42
EL-04-1548,2.5-6mm M10 ring terminal insulation dgrip stud,0,ea,0.49
EL-04-1549,2.5-6mm m5 YELLOW ring terminal insulated dgrip stud,50,ea,0.3
EL-04-1550,2.5-6mm M6 YELLOW ring terminal insulated dgrip stud,0,ea,48.25
EL-04-1551,2.5-6mm M8 YELLOW ring terminal insulated dgrip stud,0,ea,43.46
EL-04-1552,6mm YELLOW ring terminal 50pk,2,ea,18.14
EL-04-1553,6.4mm m6 RED ring terminal double grip 100pk,0,ea,8.35
EL-04-1554,8.5mm YELLOW cg ring stud 50pk,2,ea,9.75
EL-04-1555,10mm RED vg ring stud 100pk,0,ea,8.86
EL-04-1556,6.4mm RED vg ring stud 100pk,0,ea,7.63
EL-04-1557,10.5mm BLUE vg ring stud 100pk,0,ea,6.5
EL-04-1558,6.5mm BLUE vg ring stud 100pk,0,ea,7.89
EL-04-1559,10.5mm YELLOW vg ring stud 100pk,0,ea,6.5
EL-04-1560,6.5mm YELLOW vg ring stud 100pk,0,ea,9.49
EL-04-1561,M6 YELLOW 1.5mm2 ring terminal 100pk,0,ea,18.1
EL-04-1562,8.5mm RED vg ring stud 100pk,0,ea,0
EL-04-1563,2.8x0.5mm RED qc tab terminal 100pk,400,ea,0.07
EL-04-1564,O-ring nitrile 6mm x 1mm,0,ea,0.09
EL-04-1565,"Silicone Hose Reducer 1"" to 2"" (25-51mm) blue",2,ea,15.86
EL-04-1566,"25mm 1"" x 105mm Rubber Elbow",3,ea,12.6
EL-04-1567,"19mm 3/4"" x 105mm Rubber Elbow",16,ea,11.47
EL-04-1568,5mm ring terminal insulated (100 Pack) RED,303,ea,0.22
EL-04-1569,5mm Ring Terminal INS Blue 100PK,100,ea,0.12
EL-04-1570,"reducer silicone rubber straight 2"" to 1"" black",5,ea,8.19
EL-04-1571,fuse EV 5A 10x38mm suit BMS tapping wires,3225,ea,2.62
EL-04-1572,200A aR fuse link DC750V,49,ea,9.13
EL-04-1573,10x38mm Class gPV Fuse 1000VDC 10A,0,ea,9.2
EL-04-1574,10x38mm Class gPV Fuse 1000VDC 2A,0,ea,9.2
EL-04-1575,10x38mm Class gPV Fuse 1000VDC 16A,0,ea,9.2
EL-04-1576,10x38 DIN Holder 1000VDC 32A 1 Pole,14,ea,8.55
EL-04-1577,4mm2 Fuse holder DIN rail mount 250V 6.3A black,28,ea,6.09
EL-04-1578,fuse holder single suit Midi fuse,2,ea,6
EL-04-1579,fuse Midi 30A (10 pack),1,ea,25.65
EL-04-1580,fuse Adler AE3 EV 850VDC 10A 10x38mm,20,ea,13.5
EL-04-1581,EV FUSE BLOCK 1000VAC 1000VDC M8,6,ea,33
EL-04-1582,FUSE 80A 800VDC FAST 25x66mm BODY FC 93/95m,0,ea,43.98
EL-04-1583,50A MCCB-125 DC breaker feeo,65,ea,37.09
EL-04-1584,32A 1P MCB 6KA C CURVE S200 ABB,5,ea,9.3
EL-04-1585,125A MCCB-750 DC breaker,43,ea,41.02
EL-04-1586,Rcbo Mod6 1P+N 6KA 25A C Curve 30MA T/A,2,ea,34.9
EL-04-1587,24-12V 30A voltage reducer,0,ea,216.25
EL-04-1588,E-stop switch only ABB suit dash mount,20,ea,32.76
EL-04-1589,shroud yellow suit ABB E-stop switch,20,ea,8.17
EL-04-1590,E-stop switch only ABB suit dash mount,17,ea,32.76
EL-04-1591,duct Inaba 100mm 2m length,0,ea,29
EL-04-1592,flat elbow suit Inaba duct 100mm,0,ea,11.5
EL-04-1593,wall cap suit Inaba duct 100mm,0,ea,14.23
EL-04-1594,25 x 25mm slotted duct (12PK),12,ea,6.26
EL-04-1595,25 x 40mm slotted duct (12PK),9,ea,16.54
EL-04-1596,25 x 60mm slotted duct (12PK),12,ea,17.54
EL-04-1597,40 x 40mm slotted duct (12PK),30,ea,20.89
EL-04-1598,40 x 60mm slotted duct (12pk),37,ea,25.45
EL-04-1599,60 x 60mm slotted duct (12PK),11,ea,26.84
EL-04-1600,80 x 100mm slotted duct (10PK),10,ea,23.91
EL-04-1601,35mm DIN rail slotted 2M,0,ea,11.62
EL-04-1602,Din Rail Slotted 1 Metre Length 34X7.5MM,10,ea,7.25
EL-04-1603,Unistrut Slotted 22x21x4.1x2.5mm,0,ea,84.28
EL-04-1604,Channel Nut w/Long Spring M8 Steel HDG For 1000-2000,0,ea,2.3
EL-04-1605,Channel Nut w/Long Spring M10 Steel HDG For 1000-2000,0,ea,2.3
EL-04-1606,Channel Nut w/Long Spring M10 Steel ZP For 1000-2000,0,ea,2.19
EL-04-1607,Unvented Ladder Tray Flat Cover W150mm HDG,1,ea,69
EL-04-1608,Perforated Cable Tray 100mmx12mmx2.4m Steel Pre-Galv,4,ea,21.97
EL-04-1609,Cable Ladder Tray 150mm x40mmx3m Steel Hot Dipped Gal,2,ea,57.52
EL-04-1610,Cable Tray Bend Radius Plate 2m Galvabond,0,ea,23.55
EL-04-1611,Splice Bolt M10 x 25mm Steel Zinc Plated,0,ea,0.39
EL-04-1612,Splice Bolt M10 x 25mm Steel Hot Dip Galvanised,0,ea,0.52
EL-04-1613,Splice Nut M10 Steel Zinc Plated,0,ea,0.46
EL-04-1614,Splice Nut M10 Steel Hot Dip Galvanised,0,ea,0.52
EL-04-1615,Cabac Aluminum Jointing Compound 220g,1,ea,45.76
EL-04-1616,Circular Unarmoured 2C+E 2.5mm PVC/PVC Orange 450/750V,0,ea,228.02
EL-04-1617,2.5mm Green/Yellow 0.6/1kV Building Wire 1 Core PVC,0,ea,68
EL-04-1618,Circular Unarmoured 4C+E 4mm PVC/PVC Orange 450/750V,100,ea,58.47
EL-04-1619,Corrugated Conduit Gland Straight 25mm PVC Grey,6,ea,3.37
EL-04-1620,Swtch Outlet Surface W/P 1Ph 1P 32A 250V3 Pin Rnd GreyIP6,0,ea,0
EL-04-1621,Switch Outlet Surface W/P 3Ph 3P 32A 500V4 Pin Rnd Gry IP6,0,ea,0
EL-04-1622,Isolating Switch Surface W/P 3P 32A 500V 1 way Grey IP66,0,ea,0
EL-04-1623,Switch Surface W/P 2G 16A 250V IP66 Horiz Chem Res Gre EC0402,0,ea,28.38
EL-04-1624,1/1 13 RED SINGLE CORE HIGH TENTION,0,ea,49.33
EL-04-1625,20 M 3 CORE 6MM ORANGE FLEX,0,ea,153.78
EL-04-1626,16mm 4 Cores+Earth Cu(FLEX)/PVC,125,ea,23.69
EL-04-1627,Flexible Grommet 1.6-2.4mm 2M,0,ea,20.21
EL-04-1628,M20 earth tage washer NICKEL P/BRASS,0,ea,0
EL-04-1629,Mini GP Relay 2P 2CO 10A 12VDC 8Pin Flat,0,ea,14.71
EL-04-1630,Relay Base Plug-In For 5532 Relay/9902 LED all goods in stock.,0,ea,9.42
EL-04-1631,RCBO C Curve Type A 4P20A 240/415V 30mA 6kA DIN Mount,3,ea,133.14
EL-04-1632,Switch Outlet Surface W/P 3 PH 3P 20A 500V 4 Pin Rnd Grey IP66,0,ea,100.5
EL-04-1633,Switch Outlet Surface W/P 3Ph 3P 32A 500V 4 Pin Grey IP66,0,ea,0
EL-04-1634,socket only wall mount 3ph 5pin 32A,0,ea,150.71
EL-04-1635,NHP MOD6 1 Pole 6kA 30mA RCBO 20A,8,ea,38.23
EL-04-1636,Mini Circuit Breaker C Curve 3P 32A 6kA 3MOD DIN Rail Moun,0,ea,0
EL-04-1637,Mini Circuit Breaker 3P 63A 6kA 3MOD DIN Rail Moun,5,ea,20.85
EL-04-1638,Isolating Switch Surface W/P 2P 40A 250V Grey IP66,2,ea,23.8
EL-04-1639,Isolating Switch Surface W/P 3P 40A 500V Grey IP66,0,ea,28.86
EL-04-1640,Ground modular terminal block PT 4-PE,6,ea,5.59
EL-04-1641,Rola-Case w/6 Dividers 370x370x85mm ABS Orange,0,ea,79.99
EL-04-1642,Rola-Case w/6 Dividers 370x370x85mm ABS Orange w/Clr Lid,0,ea,79.99
EL-04-1643,Rola-Case W/6 Dividers 370x370x85mm ABS Orange w/Clr Lid,0,ea,90.43
EL-04-1644,LED Batten WP 10/20W 900/1800lm 3/4/6K Grey UV Stab IP65 PC,0,ea,47.45
EL-04-1645,Rail Terminal Block Feed Thru Screwed 2 Wire 10mm Grey PA66,8,ea,3.59
EL-04-1646,Rail Terminal Block Fused Screwed 2 Wire 4mm Black PA66,47,ea,0.88
EL-04-1647,20mm Sealing Washer,50,ea,2.38
EL-04-1648,25mm Sealing Washer,2,ea,2.15
EL-04-1649,16MM SEALING WASHER NEOPRENE,0,ea,1.3
EL-04-1650,Combo RCD/MCB RCBO 1P+ N 25A6kA 1Module 18mm DIN Rail,0,ea,76.29
EL-04-1651,Instrument Unarm 1 Pair O/A Screened 1.5mm PVC/AL/PVC Black,0,ea,1.37
EL-04-1652,Schneider switch push button,0,ea,120.62
EL-04-1653,Isolating Switch Surface W/P 2P 20A 250V Grey IP66,8,ea,15
EL-04-1654,NHP MOD6 1 Pole 6kA 30mA RCBO 16A,1,ea,35.9
EL-04-1655,contactor DIN mount 20A 24VDC N/O,0,ea,0
EL-04-1656,Amphenol socket,4,ea,28.62
EL-04-1657,Amphenol socket,0,ea,31.28
EL-04-1658,Amphenol plug,0,ea,24.21
EL-04-1659,Amphenol socket,0,ea,28.47
EL-04-1660,40 pin plug ARC18-40SA-P013,5,ea,33.31
EL-04-1661,"40 Position, Receptacle, Pin Contact, Size 16, Threaded Insert for Jackscrew",11,ea,34.97
EL-04-1662,Amphenol socket,3,ea,29.88
EL-04-1663,shroud double row 34P,0,ea,6.88
EL-04-1664,shroud double row 32P,0,ea,4.88
EL-04-1665,deutsch connector 12 pin PCB mount,0,ea,21.51
EL-04-1666,TE connectivity connector,0,ea,30.6
EL-04-1667,828904-1 TE connectivity wire seal grommet,20,ea,0.13
EL-04-1668,TE connectivity backshell cover,5,ea,3.79
EL-04-1669,TE connectivity pin,0,ea,0.22
EL-04-1670,"Automotive Connectors Automotive Connectors PLUG SUBASSY, A HVA2802PHM F",0,ea,15.28
EL-04-1671,Automotive Connectors Automotive Connectors 5ATM 12P PLUG ASSY,0,ea,9.27
EL-04-1672,Automotive Connectors Automotive Connectors COVER FOR 62POS.REC.HSG,0,ea,3.59
EL-04-1673,Automotive Connectors Automotive Connectors AMP MCP2.8 RECEPT HSG 39POS ASSY,0,ea,19.11
EL-04-1674,"Automotive Connectors Automotive Connectors 2.8MM TAB HSG 39POS.,ASSY",0,ea,15.31
EL-04-1675,"Automotive Connectors Automotive Connectors CABLE SEAL RETAINER, SIZE 1, HVA280",0,ea,2.33
EL-04-1676,"Automotive Connectors Automotive Connectors COLLET, SIZE 1, HVA280",7,ea,1.79
EL-04-1677,"Automotive Connectors Automotive Connectors CABLE SEAL, SIZE 1, HVA280",0,ea,2.22
EL-04-1678,"Automotive Connectors Automotive Connectors SPACER, HVA2802PHM",0,ea,2.25
EL-04-1679,Automotive Connectors Automotive Connectors OUTER FERRULE SIZE C HVA280,7,ea,3.46
EL-04-1680,Automotive Connectors Automotive Connectors INNER FERRULE SIZE C HVA280,7,ea,3.15
EL-04-1681,Automotive Connectors Automotive Connectors MCP2 8 BUKONTAKT,0,ea,0.73
EL-04-1682,Automotive Connectors Automotive Connectors INNER HSG SUBASSY HVA2802PHM,0,ea,3.85
EL-04-1683,"Automotive Connectors Automotive Connectors SHIELD, PLUG, SIZE 1, Sn, HVA280",0,ea,2.97
EL-04-1684,Automotive Connectors Automotive Connectors 1.2Mm Contact Strip Cut Strip of 100,0,ea,0.16
EL-04-1685,Automotive Connectors Automotive Connectors TAB 2 8X0 8 Cut Strip of 100,0,ea,0.39
EL-04-1686,Automotive Connectors Automotive Connectors PLUG ASM,0,ea,51.37
EL-04-1687,"GASKET, 40P, BLK, DR",0,ea,2.35
EL-04-1688,BT DRC40WY PL OR RC,6,ea,12.8
EL-04-1689,"GASKET, 24P, BLK, DR",15,ea,2.15
EL-04-1690,BT DRC 24 WY PL OR R,4,ea,5.25
EL-04-1691,BKSH HDP20 L015 24 S,0,ea,5.54
EL-04-1692,BKSH HDP20 L015 24 S,0,ea,5.5
EL-04-1693,"Amphenol FCI Shrd Hdr,T/M,Dble Rw / Headers & Wire Housings",0,ea,4
EL-04-1694,"Amphenol FCI Shrd Hdr,T/M,Dble Rw",0,ea,0.92
EL-04-1695,TE Connectivity AMP MCP 2.8 SKT HSG.,0,ea,17.72
EL-04-1696,backshell boot suit 24way connector,0,ea,5.01
EL-04-1697,DEUTSCH RECP CONNECTOR SHELL / Automotive Connectors US HTS:8538908180,0,ea,70.54
EL-04-1698,DEUTSCH PLUG CONNECTOR SHELL / Automotive Connectors US HTS:8538908180,0,ea,68.63
EL-04-1699,Aptiv (formerly Delphi) Single Wire Seal / Automotive Connectors US HTS:3926909985,0,ea,0.31
EL-04-1700,Aptiv (formerly Delphi) Single Wire Seal / Automotive Connectors US HTS:3926904590,0,ea,0.31
EL-04-1701,Aptiv (formerly Delphi) Single Wire Seal / Automotive Connectors US HTS:3926904590,0,ea,0.22
EL-04-1702,plug housing suit FAST gearbox speed sensor,6,ea,3.53
EL-04-1703,plug backshell,10,ea,0.98
EL-04-1704,15324973 seal suit female terminal,50,ea,0.13
EL-04-1705,pin female (cut strip) suit 1-967325-1,100,ea,0.39
EL-04-1706,TE connector,3,ea,2.84
EL-04-1707,connector amphenol 40 way,3,ea,32.51
EL-04-1708,connector amphenol 40 way,3,ea,45.2
EL-04-1709,boot rubber suit 40 way plug,5,ea,6.39
EL-04-1710,terminal socket pin female to suit 1-1534127-1 plug,6,ea,0.4
EL-04-1711,TE connectivity plug,2,ea,78.68
EL-04-1712,Freight,0,ea,0
